year,NY.GDP.MKTP.CD,NY.GDP.PCAP.CD,NY.GNP.PCAP.CD,EN.ATM.CO2E.KT,EN.CO2.TRAN.ZS,EN.CO2.MANF.ZS,EN.CO2.ETOT.ZS,EN.CO2.BLDG.ZS,EG.USE.COMM.CL.ZS,SP.POP.TOTL,SP.DYN.CBRT.IN,SP.DYN.CDRT.IN,SM.POP.TOTL,SP.POP.GROW,SP.DYN.LE00.IN,NY.ADJ.AEDU.CD,SE.XPD.TOTL.GD.ZS,SE.TER.CUAT.BA.ZS,SL.TLF.ADVN.ZS,SL.TLF.BASC.MA.ZS
2001,200252121409.922,3119.6062176407,3550,194552.685,18.2395793394315,23.1801500794216,41.9674645341513,12.1213781015501,3.6864425300183,64191474,21.218,6.334,,1.49314724529761,70.571,5128500000,2.65434002876282,,,
2002,238428211252.654,3660.07112980386,3560,205685.697,18.2058869334995,27.4827389295541,37.097025385454,12.5577532056274,4.4898633335877,65143054,20.763,6.22,,1.47152842459308,71.102,5800250172.10072,2.74893999099731,,,
2003,311822906256.246,4718.45528238866,3910,218523.864,17.3132856790732,29.3468079861967,35.5977323145181,13.7638649248213,4.53409307963649,66085803,20.324,6.125,,1.43682607692446,71.6,7667452425.93096,2.87663006782532,,,
2004,404786390740.091,6040.87969597133,5220,225421.491,17.2542012748696,28.0809349043848,35.5659648445045,14.7092910952289,5.38089606953948,67007855,19.908,6.048,,1.38559081714286,72.06,11411400000,3.02020001411438,,,
2005,501416344150.045,7384.25910697388,6760,237390.579,17.0821962162912,25.4590869142884,37.5549285350849,15.6621490355706,4.77988457612998,67903406,19.521,5.989,1319236,1.32763439845205,72.481,13639999999.9999,,,,
2006,552487224361.218,8034.61120578916,7820,261614.781,17.3847695390782,25.5260521042084,37.6753507014028,15.3264863059452,4.69094796335907,68763405,19.166,5.945,,1.25855040488536,72.866,14440800000,2.75062990188599,,75.9197998046875,69.8788986206055
2007,675770204927.469,9709.7213456869,8880,284658.209,17.8664255848118,23.0760537913889,40.0873921723735,14.9282404791502,3.83401789633284,69597281,18.837,5.911,,1.20538011269419,73.219,19080560912.4824,,,76.2333984375,69.8265991210938
2008,764335766423.358,10850.8719363353,9770,283979.814,16.8591921479804,14.1902604756512,43.193657984145,19.4601736504341,3.8639078310947,70440032,18.529,5.886,,1.20362374299187,73.549,23196020958.891,,,76.5115966796875,69.9889984130859
2009,644640000000,9036.26807623328,9580,277844.923,17.2361397903923,15.2998013012818,43.7059258970663,18.3348268204309,4.38502954169555,71339185,18.237,5.866,,1.26840177842845,73.859,20870065028.0326,,,76.8177032470703,69.3328018188477
2010,771901783337.77,10672.400364514,10430,298002.422,16.3426030597634,18.2681437938051,42.5992915818826,17.4278393247419,5.32770459943917,72326914,17.956,5.849,1367034,1.37505586908402,74.154,26686314487.5877,,,77.7248992919922,69.6716995239258
2011,832523582089.552,11340.822269959,11230,320840.498,15.4429579690298,18.2099090557955,43.2775027213034,17.5743530320587,5.38113113160956,73409455,17.678,5.835,,1.48564276481,74.437,30529198451.4053,,,78.3702011108398,70.2960968017578
2012,873982182628.062,11720.3130136743,11880,329560.624,16.8632504047312,17.4645653682228,41.7418310371031,20.11101199326,5.72709858654086,74569867,17.399,5.824,,1.56837559565774,74.711,33922334628.9,4.41900014877319,,78.0912017822266,69.5250015258789
2013,950579367580.628,12542.7209264723,12530,324771.522,20.1338028169014,16.2781690140845,42.7077464788732,17.0845070422535,6.11513779657651,75787333,17.115,5.817,,1.61946698707746,74.977,36035213972.5422,4.36409997940063,,79.1811981201172,69.3574981689453
2014,934185972127.028,12127.4614576299,12590,345981.45,19.833284490899,14.6169125069193,46.690111035134,15.1574354465827,4.95017358246282,77030628,16.826,5.814,,1.62719411336179,75.239,35316675904.0394,4.37116003036499,,79.0404968261719,69.7403030395508
2015,859796691176.471,10984.8028816485,12000,,,,,,6.65430058653642,78271472,16.533,5.814,2964916,1.59800853352441,75.498,32284684001.1454,4.2918701171875,,79.5858001708984,69.5488967895508
2016,863721731068.508,10862.7264255339,11230,,,,,,,79512426,16.241,5.819,,1.57301169985338,75.755,32474593907.0345,,,79.5363006591797,69.7101974487305
2017,851549299635.427,10546.1525631603,10940,,,,,,,80745020,15.954,5.83,,1.53829770411437,76.009,31904864189.3672,,,80.0106964111328,70.0896987915039
2018,,,,,,,,,,,,,,,,,,,,
