year,NY.GDP.MKTP.CD,NY.GDP.PCAP.CD,NY.GNP.PCAP.CD,EN.ATM.CO2E.KT,EN.CO2.TRAN.ZS,EN.CO2.MANF.ZS,EN.CO2.ETOT.ZS,EN.CO2.BLDG.ZS,EG.USE.COMM.CL.ZS,SP.POP.TOTL,SP.DYN.CBRT.IN,SP.DYN.CDRT.IN,SM.POP.TOTL,SP.POP.GROW,SP.DYN.LE00.IN,NY.ADJ.AEDU.CD,SE.XPD.TOTL.GD.ZS,SE.TER.CUAT.BA.ZS,SL.TLF.ADVN.ZS,SL.TLF.BASC.MA.ZS
1985,489285164271.047,8652.21654247593,9000,559855.558,17.7590902399529,16.1563374061534,43.5650669807154,20.0445311349919,8.10444886652753,56550268,13.3,11.9,3535927,0.226951225450001,74.6292682926829,23138000000,4.5940899848938,,,
1986,601452653180.885,10611.112210096,10070,568777.369,18.3895480124736,15.1672102942758,44.0302519803577,19.970249829743,7.75060120666563,56681396,13.3,11.7,,0.231610229834337,74.9292682926829,27945000000,4.38083982467651,,,
1987,745162608269.325,13118.586534629,12480,571868.65,18.9202161700917,15.3043447344094,44.3148688046647,19.0890990542558,7.17569084449885,56802050,13.7,11.3,,0.212637260699709,75.280487804878,33572000000,4.37180995941162,,,
1988,910122732123.799,15987.1680775688,15880,570464.189,20.2060532601333,15.6518484189512,43.3424833339275,18.346939503048,8.17846498278871,56928327,13.8,11.4,,0.222063893961785,75.3804878048781,40920000000,4.26831007003784,,,
1989,926884816753.927,16239.2821960944,17080,581721.879,21.6787560980066,14.4324057663847,43.9549798103452,17.5019641519431,9.23508297328756,57076711,13.6,11.5,,0.260311450078262,75.5829268292683,39270000000,4.12511014938354,,,
1990,1093169389204.55,19095.4669984608,18250,555924.534,20.987383834511,14.0457541399646,44.972704533421,17.4617954757079,8.57642331371602,57247586,13.9,11.2,3650286,0.298930554095876,75.8804878048781,46200000000,4.05552005767822,,,
1991,1142797178130.51,19900.7266505069,19060,566830.192,20.4171279597157,14.0994964465555,43.9627156172994,18.5689796792972,8.87140432508976,57424897,13.8,11.3,,0.309247932319381,76.0829268292683,49450000000,4.1224799156189,,,
1992,1179659529659.53,20487.1707852878,21110,556280.233,21.1559891123655,12.887963318171,44.8840905354305,18.5053250762682,9.70794574127889,57580402,13.6,11,,0.270431182081877,76.4341463414634,54000000000,4.3344898223877,,89.5562973022461,80.1886978149414
1993,1061388722255.55,18389.0195675099,21000,545711.939,22.0508953817154,13.4891611687088,42.2978322337418,19.5249764373233,11.0993299358862,57718614,13.2,11.4,,0.239745439286479,76.3853658536585,56160000000,,,89.7023010253906,78.4387969970703
1994,1140489745944.29,19709.2380983653,21520,546738.699,22.4350519011298,13.8651526447592,41.7808873850624,20.1449026017472,10.9307766606972,57865745,13,10.8,,0.254586486858912,76.8853658536585,61360000000,4.850830078125,,90.1088027954102,77.7819976806641
1995,1335218557677.13,23013.4588199274,20820,538117.582,22.6425011680424,13.4675284223641,42.0514717333749,19.72823547734,10.9954254627871,58019030,12.6,11.1,4155293,0.264547416858702,76.8365853658537,65280000000,4.83926010131836,,89.4524993896484,76.8246002197266
